,text
184,"Mình không hay ghi reviews, nhưng có dịp ghé qua Renaissance Riverside Hotel thì để lại khá nhiều ấn tượng tốt. Mình tham dự sự kiện diễn ra ở sảnh Atrium Lounge, không nghĩ được trong không gian khách sạn nghĩ là nhỏ mà lại có một cái Lounge với thiết kế không gian đẹp, trần rất cao tạo cảm giác thoải mái, phù hợp để làm việc hoặc các sự kiện networking, hay đơn giản là tìm một góc im lặng để trầm ngâm. Mình chưa có dịp ở lại khách sạn nhiều, nhưng ấn tượng từ các bạn nhân viên team BnF trong sự kiện hôm 14/8 khá tốt, các bạn thân thiện & rất 'supportive', từ đó thấy được dịch vụ khác biệt mà khách sạn mang đến cho khách hàng, đặc biệt có bạn nhân viên tên Tâm và Như đã cung cấp khá nhiều thông tin thú vị và hữu ích về khách sạn. Có dịp mình sẽ ghé lại khách sạn nữa. Hi vọng các bạn luôn giữ được phong cách phục vụ chuyên nghiệp như vậy tới khách hàng. Cheers!"
185,Tình hình là ngày 11/11 là ngày kỷ niệm của mình với nửa kia. Mình đã đặt biệt chuẩn bị một bữa tối ở nhà hàng VietKitchen của khách sạn. Mình đã gọi book bàn trước từ ngày 2/11. Chiều ngày 11/11 mình gọi điện kiểm tra lại thì nhận được câu trả lời không có bàn nào được book bằng tên mình và cái bàn gần cửa sổ mà đáng lẽ ra là của mình trong tối kỷ niệm đã phải đổi thành bàn ở phía trong. Mình cực kỳ bực mình vì sự chuẩn bị của mình cho ngày kỷ niệm bị phía nhà hàng phá hỏng.Mong nhà hàng cẩn thận hơn trong việc đặt bàn. Cảm ơn quý nhà hàng vì đã làm cho ngày kỷ niệm của mình kém hoàn hảo.Mình khá thất vọng vì cách làm việc của một nhà hàng đẳng cấp thuộc khách sạn 5 sao do tập đoàn Marriott quản lý.The problem is 11/11 is my anniversary with my love. I specially prepared a dinner at the restaurant VietKitchen. I called the front desk from November 2. On the afternoon of November 11th I called again and received the answer that no table was reservation under my name and the table near the window that should be mine in the evening had to be changed to another table. I was very upset because my preparation for the anniversary was ruined by the restaurant.I look forward to the restaurant more careful in booking the table. Thank you for your restaurant for making my anniversary less perfect.I am quite disappointed by the service of a luxury restaurant in a five star hotel managed by JW Marriott.
186,Tôi đã ký hợp đồng đặt tiệc với KS. KS đã hủy hợp đồng của tôi và bán lại cho người khác.Tôi gọi điện cho Hồng 0908171696 - Nhân viên Sale phụ trách thì không dám bắt máy.Đề nghị KS giải quyết việc này cho tôi.Liên hệ: 01217969696
187,"Ks khá ổn về phòng, sạch sẽ, mình thích đồ dry amenities, buffet sáng ngon, tuy nhiên mình không thích mấy loại nước uống, nó hơi mang vẻ "" công nghiệp"". Vẫn sẽ quay lại trong lần ghé sg tiếp theo! Hey!"
188,"Renaissance Saigon Riverside có vị trí thuận tiện để kết nối tới các điểm chính trong trung tâm thành phố. Bản thân tôi đã ở khách sạn này nhiều lần trong nhiều năm. Khách sạn cũng mới được tân trang nên trông hiện đại và đẹp hơn trước. Điểm trừ cho lần nâng cấp lần này là còn quá ít ghế ở sảnh chính cho khách đến viếng thăm và đợi người thân, bạn bè. Cá nhân tôi rất thích quầy bar trên tầng 21 đặc biêt vào ban đêm."
189,"Tôi và gia đình đã có một kỳ nghỉ đáng nhớ tại đây... và tôi ấn tượng với thức ăn tại nhà hàng của quý khách sạn... nó không nhiều món nhưng rất ngon!Bạn có căn phòng đẹp, tôi cũng rất thích nó... và khách sạn của bạn được tọa lạt một vị trí rất tốt ở Sài Gòn, từ khách sạn này bạn có thể đi bộ đến đường Nguyễn Huệ rất gàn và đặc biệt rất gần các trung tam mua sắm...Cám ơn Quý khách sạn đã cho tôi một trải nghiệm đáng nhớ!"
190,"Nhà hàng nằm ở tầng trệt của khách sạn 5sao. Tôi đã ăn buffet ở đây rất nhiều lần và cảm thấy rất hài lòng, nhân viên vui vẻ, nhiệt tình, thức ăn ngon, đa dạng và luôn thay đổi, giá không quá cao so với nhiều khách sạn cùng khu vực trung tâm thành phố. Tuy nhiên nếu đến đây bằng taxi thì không sao nhưng nếu đi xe máy thì bãi gửi xe trong khách sạn có thu phí nhé."
191,"Thẻ member của Club Marriott của tôi hết hạn vào 30/11/2015. Khi tôi gọi điện đặt phòng tại Renaissance Sài Gòn Riverside (vào 19/11, trong lúc chưa hết hạn), khách sạn trả lời rằng đã full toàn bộ phòng cho đến hết tháng 11 và từ chối không cho tôi dùng thẻ member. Tôi thấy nghi ngờ câu trả lời này, bèn gọi lại bằng số máy khác để kiểm tra và đặt phòng thường. Lúc này nhân viên nghe điện thoại lại nói rằng: Bên em mọi loại phòng đều đang còn, anh muốn đặt phòng nào?Đây là cách làm việc kiểu gì vậy? Từ chối khách mua thẻ để giữ phòng? Thật bất ngờ về cách hành xử của các bạn. Khi tôi email phàn nàn vấn đề thiếu nhất quán này với khách sạn, Shadi Adnan (Area Director) thậm chí còn chẳng thèm quan tâm và nhận lỗi về sự dối trá của nhân viên. Tình cờ hôm nay lên Trip Advisor tìm khách sạn để đi công tác tại Sài Gòn lại nhớ ra trải nghiệm không vui này. Tôi đã mất hoàn toàn 300 USD mua thẻ và nhận về một trải nghiệm kinh khủng.Các bạn nên hành xử một cách trung thực và tôn trọng khách hàng hơn.Tôi hoàn toàn mất niềm tin vào hệ thống của các bạn và sẽ không bao giờ giới thiệu cho bất kì ai về Renaissance Sài Gòn Riverside."
192,"Một khách sạn được vận hành tốt với nhân viên làm việc hiệu quả và thân thiện. Bữa sáng ngon, thịnh soạn nhưng náo nhiệt. Trong thời gian nghỉ ba ngày ở đây, chúng tôi đã có một bữa tối miễn phí chất lượng cao. Địa điểm đẹp và lễ tân có thể bố trí taxi cho bạn một cách dễ dàng. Bạn phải trả tiền wifi nếu bạn muốn sử dụng trong phòng. Tầng thượng nơi có spa, phòng tập thể dục và bể bơi có phong cảnh rất đẹp. Nhân viên lễ tân cần tìm hiểu đường đến Mecca để những khách du lịch Hồi giáo muốn cầu nguyện như chúng tôi có thể dễ dàng tìm đường đến đó. Khi ghé thăm TP. HCM, chắc chắn tôi vẫn muốn ở đây"
193,
194,"Phòng sạch sẽ, view đẹp.Nhân viên thân thiện, dễ thương từ khâu check in, concierge đến làm phòng, nhà hàngThức ăn rất ngonCảm ơn các bạn đã cho gia đình chúng tôi một kỳ nghỉ thật thoải mái và đáng nhớWill be backLove you all"
195,"Tôi đặt bàn cho 2 người. Bàn cửa sổ cod view sông đẹp và thoải mái.rất hài lòng về cung cách phục vụ,món ăn đa dạng phong phú. hàu sống và bò rất ngon. Nhân viên vui vẻ nhiệt tình bạn Tuấn Anh. Trinh. Thơ rất tận tình vui vẻ."
196,"Hôm nay CANON có tổ chức sự kiện tại đây để cám ơn các thành viên của gia đình CANON cũng là dịp để mọi người gần gũi nhau hơn. Mở đầu chương trình ở 5F/ Atrium Lounge cho các bé nhỏ vui chơi và tiệc teabreak trang trí đẹp, đồ ăn ngon, sạch sẽ và không gian thoải mái. Sau đó mọi người dời xuống tầng G để thưởng thức buffet trưa. Nhân viên rất nhiệt tình gợi ý chỗ ngồi và sau đó hàng loạt thức ăn hấp dẫn hiện ra rất tươi ngon và nóng giòn, các món âu á đủ cả. Thức ăn rất tươi nhất là tôm cua và được fill liên tục. Không gian đẹp, thức ăn ngon, sạch sẽ và không thể không nhắc đến các nhân viên Tam, Vy, Duyen rất nhiệt tình hỗ trợ và thái độ cực kỳ thân thiện. Cảm ơn Renaissance, cảm ơn các bạn nhân viên đã cho mình một trải nghiệm tuyệt vời <3"
197,"Mình không hay ghi reviews, nhưng có dịp ghé qua Renaissance Riverside Hotel thì để lại khá nhiều ấn tượng tốt. Mình tham dự sự kiện diễn ra ở sảnh Atrium Lounge, không nghĩ được trong không gian khách sạn nghĩ là nhỏ mà lại có một cái Lounge với thiết kế không gian đẹp, trần rất cao tạo cảm giác thoải mái, phù hợp để làm việc hoặc các sự kiện networking, hay đơn giản là tìm một góc im lặng để trầm ngâm. Mình chưa có dịp ở lại khách sạn nhiều, nhưng ấn tượng từ các bạn nhân viên team BnF trong sự kiện hôm 14/8 khá tốt, các bạn thân thiện & rất 'supportive', từ đó thấy được dịch vụ khác biệt mà khách sạn mang đến cho khách hàng, đặc biệt có bạn nhân viên tên Tâm và Như đã cung cấp khá nhiều thông tin thú vị và hữu ích về khách sạn. Có dịp mình sẽ ghé lại khách sạn nữa. Hi vọng các bạn luôn giữ được phong cách phục vụ chuyên nghiệp như vậy tới khách hàng. Cheers!"
198,Tình hình là ngày 11/11 là ngày kỷ niệm của mình với nửa kia. Mình đã đặt biệt chuẩn bị một bữa tối ở nhà hàng VietKitchen của khách sạn. Mình đã gọi book bàn trước từ ngày 2/11. Chiều ngày 11/11 mình gọi điện kiểm tra lại thì nhận được câu trả lời không có bàn nào được book bằng tên mình và cái bàn gần cửa sổ mà đáng lẽ ra là của mình trong tối kỷ niệm đã phải đổi thành bàn ở phía trong. Mình cực kỳ bực mình vì sự chuẩn bị của mình cho ngày kỷ niệm bị phía nhà hàng phá hỏng.Mong nhà hàng cẩn thận hơn trong việc đặt bàn. Cảm ơn quý nhà hàng vì đã làm cho ngày kỷ niệm của mình kém hoàn hảo.Mình khá thất vọng vì cách làm việc của một nhà hàng đẳng cấp thuộc khách sạn 5 sao do tập đoàn Marriott quản lý.The problem is 11/11 is my anniversary with my love. I specially prepared a dinner at the restaurant VietKitchen. I called the front desk from November 2. On the afternoon of November 11th I called again and received the answer that no table was reservation under my name and the table near the window that should be mine in the evening had to be changed to another table. I was very upset because my preparation for the anniversary was ruined by the restaurant.I look forward to the restaurant more careful in booking the table. Thank you for your restaurant for making my anniversary less perfect.I am quite disappointed by the service of a luxury restaurant in a five star hotel managed by JW Marriott.
199,Tôi đã ký hợp đồng đặt tiệc với KS. KS đã hủy hợp đồng của tôi và bán lại cho người khác.Tôi gọi điện cho Hồng 0908171696 - Nhân viên Sale phụ trách thì không dám bắt máy.Đề nghị KS giải quyết việc này cho tôi.Liên hệ: 01217969696
200,"Ks khá ổn về phòng, sạch sẽ, mình thích đồ dry amenities, buffet sáng ngon, tuy nhiên mình không thích mấy loại nước uống, nó hơi mang vẻ "" công nghiệp"". Vẫn sẽ quay lại trong lần ghé sg tiếp theo! Hey!"
201,"Renaissance Saigon Riverside có vị trí thuận tiện để kết nối tới các điểm chính trong trung tâm thành phố. Bản thân tôi đã ở khách sạn này nhiều lần trong nhiều năm. Khách sạn cũng mới được tân trang nên trông hiện đại và đẹp hơn trước. Điểm trừ cho lần nâng cấp lần này là còn quá ít ghế ở sảnh chính cho khách đến viếng thăm và đợi người thân, bạn bè. Cá nhân tôi rất thích quầy bar trên tầng 21 đặc biêt vào ban đêm."
202,"Tôi và gia đình đã có một kỳ nghỉ đáng nhớ tại đây... và tôi ấn tượng với thức ăn tại nhà hàng của quý khách sạn... nó không nhiều món nhưng rất ngon!Bạn có căn phòng đẹp, tôi cũng rất thích nó... và khách sạn của bạn được tọa lạt một vị trí rất tốt ở Sài Gòn, từ khách sạn này bạn có thể đi bộ đến đường Nguyễn Huệ rất gàn và đặc biệt rất gần các trung tam mua sắm...Cám ơn Quý khách sạn đã cho tôi một trải nghiệm đáng nhớ!"
203,"Nhà hàng nằm ở tầng trệt của khách sạn 5sao. Tôi đã ăn buffet ở đây rất nhiều lần và cảm thấy rất hài lòng, nhân viên vui vẻ, nhiệt tình, thức ăn ngon, đa dạng và luôn thay đổi, giá không quá cao so với nhiều khách sạn cùng khu vực trung tâm thành phố. Tuy nhiên nếu đến đây bằng taxi thì không sao nhưng nếu đi xe máy thì bãi gửi xe trong khách sạn có thu phí nhé."
204,"Thẻ member của Club Marriott của tôi hết hạn vào 30/11/2015. Khi tôi gọi điện đặt phòng tại Renaissance Sài Gòn Riverside (vào 19/11, trong lúc chưa hết hạn), khách sạn trả lời rằng đã full toàn bộ phòng cho đến hết tháng 11 và từ chối không cho tôi dùng thẻ member. Tôi thấy nghi ngờ câu trả lời này, bèn gọi lại bằng số máy khác để kiểm tra và đặt phòng thường. Lúc này nhân viên nghe điện thoại lại nói rằng: Bên em mọi loại phòng đều đang còn, anh muốn đặt phòng nào?Đây là cách làm việc kiểu gì vậy? Từ chối khách mua thẻ để giữ phòng? Thật bất ngờ về cách hành xử của các bạn. Khi tôi email phàn nàn vấn đề thiếu nhất quán này với khách sạn, Shadi Adnan (Area Director) thậm chí còn chẳng thèm quan tâm và nhận lỗi về sự dối trá của nhân viên. Tình cờ hôm nay lên Trip Advisor tìm khách sạn để đi công tác tại Sài Gòn lại nhớ ra trải nghiệm không vui này. Tôi đã mất hoàn toàn 300 USD mua thẻ và nhận về một trải nghiệm kinh khủng.Các bạn nên hành xử một cách trung thực và tôn trọng khách hàng hơn.Tôi hoàn toàn mất niềm tin vào hệ thống của các bạn và sẽ không bao giờ giới thiệu cho bất kì ai về Renaissance Sài Gòn Riverside."
205,"Một khách sạn được vận hành tốt với nhân viên làm việc hiệu quả và thân thiện. Bữa sáng ngon, thịnh soạn nhưng náo nhiệt. Trong thời gian nghỉ ba ngày ở đây, chúng tôi đã có một bữa tối miễn phí chất lượng cao. Địa điểm đẹp và lễ tân có thể bố trí taxi cho bạn một cách dễ dàng. Bạn phải trả tiền wifi nếu bạn muốn sử dụng trong phòng. Tầng thượng nơi có spa, phòng tập thể dục và bể bơi có phong cảnh rất đẹp. Nhân viên lễ tân cần tìm hiểu đường đến Mecca để những khách du lịch Hồi giáo muốn cầu nguyện như chúng tôi có thể dễ dàng tìm đường đến đó. Khi ghé thăm TP. HCM, chắc chắn tôi vẫn muốn ở đây"
