JbGkU,orRIx
Kì nghỉ dưỡng tuyệt vời,"Một ngày bà cháu tôi vui chơi ở đây rất là vui vẻ các cháu rất thích các cô chú ở đây rất nhiệt tình cô Tu, Trinh, Anh kids club. Rất vui vẻ và cùng các cháu chơi rất vui ạ bà thấy như mình chẻ ra rất nhiều  mai là về Sài Gòn rồi chào các cô chú nhé"
Trên cả sự nghỉ dưỡng.,"3 ngày 2 đêm ở đây là một sự trải nghiệm khá thú vị đối với tôi và gia đình. Ngày đầu tiên tôi thật sự không cảm thấy nơi đây cũng "" được"" chứ không có gì đặc biệt để bản thân nghĩ sẽ quay lại như Amanoi ở Ninh Thuận hoặc Sixsenses ở Ninh Vân Bay. Tuy nhiên, qua ngày thứ hai thì cảm nhận đã thay đổi hoàn toàn. Tôi rất thích quan điểm bảo tồn thiên nhiên và động vật hoang dã của Sun Group cho nơi này. Sáng dậy sớm đi một vòng sẽ ngửi được mùi biển, mùi rừng, sẽ bắt gặp các gia đình khỉ bồng bế nhau đi kiếm ăn và vô số chim, sóc....Và ấn tượng nhất là sự chu đáo, chuyên nghiệp thân thiện nhưng không quá thân mật của nhân viên ở đây.Nhà hàng Citron với chỗ ngồi độc đáo và view trên cao nhìn xuống biển thì cũng ngang ngửa cái terrace Amanoi đó nha.P/S: cảm ơn các bạn Hóa Nguyễn, Phước, Thông Lê... các bạn là những nhân tố góp phần giúp tôi quyết định sẽ quay lại nơi đây và ở dài hơn để trải nghiệm cho hết cái đẹp cái độc đáo nơi đây."
Citron Restaurent,"Gửi lời cảm ơn tới tất cả các bạn nhân viên ở tại resort, là một khu nghỉ dưỡng tuyệt vời,Dịch vụ chất lượng và an toàn,Cảnh vật đẹp,  nhân viên nhiệt tình đặt biệt là các bạn nhân viên ở nhà hàng citron (Sương,Linh) .Và các bạn  phục vụ phòng đã tận tình trong lúc mình ở lại đây.🥰I will comback ♥️♥️♥️thank all"
Rất hài lòng về chuyến đi và trải nghiệm ở đây,"Phục vụ rất tốt, phòng rất đẹp, nhân viên vui vẻ, phục vụ rất chu đáo và nhiệt tình, quản gia rất tận tâm và chu đáo, không gian đẹp, thoáng mát, view phòng rất đẹp, món ăn rất tươi ngon và rát hợp khẩu vị, trình bày đẹp mắt, vệ sinh, nhân viên chụp hình rất đẹp"
Mừng 8/3 của 3 chị em,"Đầu tiên đến với nhà hàng là ấn tượng với nhân viên Sương và Đoan phục vụ tại nhà hàng Citron rất thân thiện,  chu đáo và nhiệt tình đặc biệt là bạn Linh. Thứ 2 là kiến trúc hiện đại, không khí trong lành, phong cảnh núi và biển ôm vào nhau, thật sự tuyệt vời. Thứ 3 là ẩm thực, đậm nét các món Việt, hợp khẩu vị."
Good service,"Happy women day🌹🌹🌹Trải nghiệm tuyệt vời trong ngày, dịch vụ resort quá tốt hơn so với mong đợi. Rất thích những thiết kế của resort, Cảnh đẹp, nhân viên ở đây rất nhiệt tình từ các bạn dưới biển lên tới nhà hàng citron (Sương, Linh, Đoan) .Thanks so much and see you later❤️"
Nhà hàng citron,"Nhà hàng tuyệt vời , cảnh đẹp đặc biệt, món ăn ngon , phục vụ tốt tận tình chu đáo, đặc biệt cháu Sương Che ngoan và nhiệt tình lắm . Chắc chắn sẽ quay lại nơi đây vào những lần tới và trải nghiệm dịch vụ nhiều hơn 🥰"
Nhà hàng tuyệt vời!,"Nhà hàng citron có vị trí thật tuyệt vời, vừa ăn uống vừa ngắm biển, hưởng gió mát. Đặc biệt nhân viên rất nhiệt tình, gần gũi, nhiệt tình. Có em Linh phục vụ rất chuyên nghiệp và nhiệt tình. Cảm giác như đang ăn ở nhà. Chắc chắn tôi sẽ quay lại.Rất mên các bạn."
Nice,"Không gian view nhìn từ trên cao bao trọn biển, thoáng đãng và hợp với mọi khách hàng. Set trà chiều đa dạng về loại bánh và trà, nhiều lựa chọn cho phù hợp vs sở thích. Đặc biệt nhân viên phục vụ rất nice, lịch sự và thân thiện (2 bạn Tuấn và Hoá là 2 bạn take care nhà mình rất tận tình và chu đáo)."
Trái nghiệm bữa sinh Nhật thật ý nghĩa tại Intercontinental Đà Nẵng,"Đánh giá thang điểm sẽ cho 10++++ Nếu có dịp nhất định sẽ quay trở lại sớm nhất có thể. Phục vụ tại đây rất tuyệt vời từ nhân viên phòng ốc cho tới nhà hàng. Đồ ăn vừa miệng rất ngon, nhân viên phục vụ tại nhà hàng rất thân thiện đặt biệt là bạn Linh.Nhất định sẽ giới thiệu bạn bè và đưa gia đình quay trở lại những dịp gần nhất."
Cảm nhận,"Cảnh đẹp - phòng đẹp - nhân viên dễ thương -  nhiệt tình. Nghĩ dưỡng là hợp lý. Nếu sau này có bạn trai sẽ quay lại hahaha…………..🤣🤣🤣………………….Nếu bạn nào không biết chụp hình có thể nhờ 2 em Phước và Linh, Thông  chụp hình dùm. Đặt biệt em Phước chụp hình khá đẹp, chụp lâu chụp lại vẫn vui vẻ"
Cảm nhận,"Tôi có kỳ nghỉ ở đây 3 ngày 2 đêm. Không gian đẹp, thoải mái, phục phụ vui vẻ, nhiệt tình. Các bạn nhân viên quan sát khách tốt, hỗ trợ kịp thời cần. Đặt biệt bạn Phước chụp hình đẹp và nhiệt tình ❤️."
Gia đình trip,"Tôi đã trải nghiệm 1 dịch vụ tuyệt vời đẳng cấp 6*, nhân viên khách sạn đáng yêu dễ thương và nhiệt tình với khách hàng, trong đấy có bạn Phước khiến tôi rất ấn tượng về sự chu đáo. Có dịp vào đà nẵng tôi sẽ quay lại KS."
Rất hài lòng,"Rất hài lòng về mọi thứ ở inter này, tuy không phải ở mùa cao điểm nhưng mà vẫn được phục vụ rất chu đáo từ lễ tân tới biển, nhà hàng Citron có cảnh đẹp, nhân viên Linh phục vụ nhiệt tình, dễ thương, thân thiện. Nhất định sẽ quay lại với gia đình lớn"
Gia đình Bắp.,"Toàn bộ nhân viên đều thân thiện và cơi mở, nhiệt tình và chuyên nghiệp. Không điều gì để phàn nàn về các bạn. Hơn nửa các bạn còn mang đến cảm giác như gia đình. Đặc biệt là bạn Phước rất xứng đáng điểm 10/10. Thức ăn rất ngon, quang cảnh tuyệt diệu và cơ sở vật chất khoing có gì để phàn nàn. Hẹn gặp lại nơi này."
Dịch vụ,"Mọi thứ đều hoàn hảo. Không gian lí tưởng cho 1 kì nghỉ tuyệt vời. Trẻ con rất thích Kids Club - điều thú vị nhất ở đây là được khám phá thiên nhiên với những chú khỉ, chú vooc tinh nghịch. Tôi rất hài lòng với kì nghỉ này từ con người, món ăn và cách phục vụ chỉ tiếc là thời tiết lần này ko ủng hộ ( lạnh quá) . Lần sau có quay lại tôi sẽ chọn thời điểm khác để được khám phá nơi đây nhiều hơn. Xin cảm ơn!"
Chuyến đi đầu năm,"Tôi đã có kì nghỉ thật thú vị tại nơi này. Tất cả mọi thứ: phòng ngủ, nhà hàng, món ăn… đều tuyệt vời. Các bạn nhân viên thân thiệt, nhiệt tình. Tôi rất ấn tượng với bạn nhân viên Phuoc Le, bạn rất nhiệt tình, chu đáo, ân cần."
Kỳ nghỉ tuyệt vời,"Tôi có kỳ nghỉ rất tốt , thức ăn rất ngon , phòng ốc rất tốt! Nhân viên ở đây rất tốt , dọn phòng sạch sẽ . Các thành viên trong gia đình tôi rất ưng ý . Có bạn nhân viên Phước rất nhiệt tình . Tôi hoàn toàn hài lòng"
Kỳ nghỉ tết cùng gia đình tại Đà Nẵng,"Tết năm nay gia đình tôi đi nghỉ dưỡng tại Đà Nẵng. Chúng tôi ở tại Intercontinental 3 đêm từ giao thừa. Trời lạnh và mưa nhưng vẫn tốt hơn thời tiết miền Bắc. Dù thời tiết không chiều lòng ngừoi nhưng bù lại Intercontinental Đà Nẵng đẹp tuyệt vời từ kiến trúc đến quanh cảnh núi và biển kết hợp. Tôi được biết ông Bill Bénley đã thiết kế, kiến trúc rất mới lạ và thu hút.Điểm cộng nữa là nhân viên nơi đây rất thân thiện, quan tâm đến khách, chúng tôi nhận được sự hỏi thăm hàng ngày mếu có gì cần ban quan lý sẽ cải thiện. Nhân viên được đào tạo rất bài bản và chuyên nghiệp. Tôi cảm ơn các cô tại khu vui chơi Planet Trekker, con trai và con gái tôi chơi cả ngày tại đó không chán, lúc đón còn chần chừ, các con khoe rất nhiều đồ chơi lamg được. Vợ chồng tôi rất yên tâm khi để các con tại đây, những khách sạn khác khu vuo chơi cho trẻ không được chú trọng như ở đây. Ngày cuối về các con không nỡ chia tay, hẹn gặp các cô dịp sau. Cảm ơn cô Tú và cô Trinh đã cho các con có một kì nghỉ trọn vẹn.Nơi đây có nhiều nhà hàng và tối sáng đều có buffet, món ăn khá vừa miệng. Một điểm trừ nhỏ là phòng hơi tối và trơn, nhất là lối đi từ ngoài vào, khá là bất tiện nếu có trẻ em chayh nhảy hoặc người già. Tôi sẽ đưa gia đình quay lại vào mùa hè này."
Tết chưa hết 😊,"Gia đình tôi đã có một kỳ nghỉ tuyệt vời, nhân viên thân thiện nhiệt tình, thái độ phục vụ chuyên nghiệp, gần gũi đặc biệt là bạn Phước ở nhà hàng Citron đã rất tận tình hỗ trựo gia đình tôi trong các bữa ăn sáng, tối tại nhà hàng."
Nice holida,Khu nghi duong tuyet voi dang cap. Am thuc rat ngon. Nhan vien than thien men khach. Toi se quay lai vao dip gan nhat. Chúng tôi rất hài lòng với cách phục vụ ở đây. Có bạn Phước chăm sóc cũng như phục vụ rất tốt. Nếu có cơ hội chúng tôi sẽ quay trở lại một...Thank Staff Trinh service quá chu đáo và tuyệt vời. Rất tận tình và rất chu đáo. Hy vọng dc gặp dc nhiều nhân viên làm việc giống như vay
Ki nghỉ dưỡng đầu năm,Chúng tôi rất hài lòng với cách phục vụ ở đây. Có bạn Phước chăm sóc cũng như phục vụ rất tốt. Nếu có cơ hội chúng tôi sẽ quay trở lại một ngày gần nhất. Cảm ơn tất cả các bạn đã cho tôi kỳ nghĩ thật vui vẻ
Good staff service,Thank Staff Thanh Linh service quá chu đáo và tuyệt vời. Rất tận tình và rất chu đáo. Hy vọng dc gặp dc nhiều nhân viên làm việc giống như vậy.Mong nhân viên receptionist đều dễ thương giống bên Nv của buffett sáng
Đầu năm cùng gia đình,"Tôi có kỳ nghỉ 2 ngày ở đây, không gian, cảnh quan rất đẹp, nhân viên Phước và Linh rất chu đáo còn giúp tôi có bức ảnh rất đep, ấn tượng. Không gian dịch vụ rât tuyệt vời. Tôi sẽ quay lại vào dịp tháng 4.2022"
Nghỉ dưỡng,"Không hổ danh một resort top trên bản đồ du lịch thế giới, resort Intercontinental Danang có một lối kiến trúc độc đáo không thể lẫn vào đâu, người kiến trúc sư  Mỹ tài hoa Bensley đã thổi hồn Việt đến từng ngóc ngách của mỗi một không gian, mỗi một khu vườn, trên mỗi viên đá, trên từng cánh cửa, mái ngói, tấm bình phong..... từ phòng ngủ ra tới  đại dương xa xăm... tất cả hoà quyện vào đất trời, nắng gió và rừng biển ... đẹp như một bức tranh của thiên đường nơi hạ giới. Đến dùng bữa ở nhà hàng Citron để tận hưởng service hoàn hảo cùng đồ ăn ngon. Đặc biệt cảm ơn bạn Phước đã rất chu đáo và nhiệt tình. Nhất định sẽ quay lại."
Chuyến đi nghỉ dưỡng ngày Tết,Địa điểm tốt. Dịch vụ tuyệt vời. Đặc biệt là chị Lệ Sương ở Citron rất nhiệt tình và thân thiện. Đặc biệt rất hài lòng về khung cảnh ở đây mặc dù trời mưa nhưng mang lại không khí rất mát mẻ và giúp mình cảm thấy rất thoải mái khi ở đây vào ngày Tết. Hứa sẽ quay trở lại đây một lần nữa
Definitely excellent,"The food was good, service was good and the atmosphere was also good. Không thể hoàn hảo hơn. Sau này khi đến Đà Nẵng lại mình sẽ ngủ ở đây lại. Hy vọng mình có thể quay lại đây rồi có thể trải nghiệm lại thời gian ở đây."
"Tận hưởng môi trường, phong cảnh thiên nhiên tươi đẹp.","Phong cảnh đẹp, nhân viên tiếp đón niềm nở, nhiệt tình chu đáo. Resort quy mô, hoành tráng, nhà hàng lộng lẫy, trang thiết bị chắc chắn, đắt tiền. Phòng ngủ trang bị tỉ mỉ, chỉnh chu, view balcon tuyệt đẹp.Anh Phước bộ phận nhà hàng vui vẻ, đáp ứng nhanh lẹ nhu cầu khách hàng; giọng nói vừa phải, dễ nghe, không nói quá nhanh."
First trip in a year,"Nhân viên rất lễ phép, cách phục vụ nhiệt tình chu đáo. Đặc biệt là bạn Phước take care customer rất tốt. Nơi ở rất yên bình, thích hợp cho gia đình đi nghỉ dưỡng. I will be back soon. Thanks you and appreciate your service. Cheers"
Kỳ nghỉ tuyệt vời ở InterContinental Đa Nang Sun Peninsula Resort,"Dịch vụ ở đây rất tuyệt vời. Phòng rất sạch sẽ, view rất đẹp. Tất cả nhân viên, từ nhân viên lễ tân, dọn vệ sinh phòng, lái xe điện, phục vụ nhà hàng, phục vụ ở khu hồ bơi, phục vụ cáp lên xuống… đều rất lịch sự, ân cần, phục vụ khách chu đáo. Nhà Hàng Citron đồ ăn khá vừa miệng, trang trí khá bắt mắt tuy nhiên thực đơn chưa được phong phú lắm. Nói chung rất hài lòng dịch vụ ở đây. Có dịp sẽ quay trở lại"
"Cảm ơn em Kha tổng đài đã nhiệt tình hỗ trợ, lần đầu trải nghiệm thật sự rất happy.","Cảm ơn em Kha tổng đài đã nhiệt tình hỗ trợ, lần đầu trải nghiệm thật sự rất happy. Hy vọng lần tới sẽ đưa gia đình đến đây nghỉ 3 ngày 2 đêm, không khí trong lành, mát mẻ, anh chị nhân viên thân thiện, lễ phép thật sự rất tuyệt vời!!!"
Good,Good직원분들 너무 친절하시고 뷰가 정말 좋았어요 방도 깔끔하고 다음에 꼭 다시와보고 싶은곳이에요!! Thanks Ms.Linh and Mr.Phuoc.Món ăn ngon. Là điểm đến tuyệt vời mà mọi người đang có kế hoạch nghỉ dưỡng. Hẹn gặp lại các bạn vào thời gian sớm nhất!
Relax,"Rất hài lòng! Đặc biệt ở Citron, ePhước rất hiểu ý những gì cô chú cần, giúp đỡ rất dễ thương,..và chụp hình rất đẹp! Còn e.Linh và các e khác nữa (ko nhớ tên).. rất chu đáo! Sẽ đến nữa... ! Và sẽ giới thiệu cho bạn bè, con cháu!"
Một kỳ nghĩ ấm áp và chân thành khó quên,"Tôi đã có kỳ nghỉ dưỡng 3N2D ( 11 - 13/01/2022) tại khu nghỉ dưỡng Intercontinental Đà Nẵng Sun Peninsula nổi tiếng đầy ấn tượng. Đúng như những đã được đề cập trên mạng truyền thông khu nghỉ dưỡng này xứng đáng với danh hiệu khu nghỉ dưỡng sang trọng nhất châu Á. Nhưng điều gây ấn tượng và để lại trong tâm trí của tôi nhất là cung cách phục vụ của toàn thể nhân viên ở các bộ phận tại khu nghỉ dưỡng này đầy sự ấm áp, chân tình, chuyên nghiệp, đẳng cấp 5 sao vượt ngoài mong đợi. Đặc biệt sau gần 1 năm không đi du lịch được do dịch bệnh thì 3 ngày nghỉ dưỡng tại đây đang giúp tôi giải phóng được những năng lượng tiêu cực và hồi phục lại những năng lượng tích cực. Nổi bật trong các nhân viên tại khu nghỉ dưỡng này là 2 bạn Quốc Toàn ( waiter) và Hiền nhỏ ( supervisor) tại nhà hàng Citron với chất lượng phục vụ chuyên nghiệp đẳng cấp 5 sao đầy sự ân cần, tận tâm, chu đáo và trên cả tuyệt vời. Tôi có may mắn đã đến được 52 quốc gia trên thế giới và đã trải qua nhiều địa danh và thành phố cũng như các tiện nghi ở các đẳng cấp khác nhau từ First Class, Business Class in Flights đến các resorts và hotels đẳng cấp 5 sao hay du thuyền 5 sao ở Alaska hay trên sông Nile ( Ai cập)... nên tôi tin chắc rằng khu nghỉ dưỡng Intercontinental Đà Nẵng Sun Peninsula cùng với cung cách chất lượng phục vụ đẳng cấp ngoài mong đợi là một nơi bạn nên trải nghiệm một lần trong đời. Tôi mong rằng bạn sẽ có những trải nghiệm ấn tượng như tôi. ThânThịnh Trần"
Kỳ nghỉ học kỳ của các bé,"Khu Kidclub ở đây thực sự ấn tượng với các bé với nhiều hoạt động: làm móng, làm hoa, xuyên vòng, làm thiệp, vẽ trên túi vải…các con quay lại lần 2 mà vẫn nhớ tên từng cô: cô Trinh, cô Hoài, cô Anh, cô Tú… các cô rất nhiệt tình và chu đáo với từng bé. Các con lúc nào cũng thấy thiếu thời gian vì ở đây ít quá😋"
Một chuyến đi tuyệt vời !,"Mình đã cầu hôn ở chuyến đi này và thành công, cám ơn tất cả đã giúp mình: Barefoot Thanh Sương; Citron Lệ Sương, Quang, Thông; Long Bar Tuấn; Hồ bơi Đông, Xuân; Event Hiền, Checkin Vương và tất cả mọi người. Xin cảm ơn rất nhiều, thương thương. Nguyễn Văn Việt."
Kì nghỉ dưỡng đáng nhớ tại intercon đà nẵng,"Không phải ngẫu nhiên mà khi gọi tên InterContinental Đà Nẵng, người ta nghĩ ngay đến những điều hoàn hảo nhất cho một kỳ nghỉ siêu sang chảnh. Nằm ẩn mình bên bãi Bắc, trước khi đến được InterContinental Đà Nẵng bạn sẽ đi qua một cung đường bên núi bên biển tuyệt đẹp trên bán đảo Sơn Trà. Chỉ vừa bước vào khu nghỉ dưỡng, bạn sẽ được những chú voọc quý hiếm của Việt Nam chào đón một cách rất nồng nhiệt. Đừng bất ngờ, bởi đó chính là ý đồ của kiến trúc sư Bill Bensley, người đã tạo ra khu nghỉ dưỡng lừng danh này.InterContinental Đà Nẵng sẽ đánh thức mọi giác quan của bạn từ những điều nhỏ nhặt nhất, dù đó là con đường dẫn vào phòng nghỉ hay những tiện nghi xa xỉ trong căn biệt thự hướng biển mà bạn đang nghỉ dưỡng. Tất cả sẽ đưa bạn như đi vào một thế giới hoàn toàn khác, một nơi chỉ có bạn và thiên nhiên. Quên đi những hối hả, bộn bề của cuộc sống thường nhật để cùng đắm chìm vào không gian nghỉ dưỡng đẳng cấp, ẩn náu giữa thiên đường nhiệt đới kết hợp với nét đẹp văn hoá Việt Nam tại InterContinental Đà Nẵng."
Good,"Khung cảnh thiên nhiên, tuyệt vời, phòng ốc hiện đại. Có những chú khỉ dễ thương. Nhân viên Linh tại Nhà hàng Citron thân thiện, nhiệt tình, phục vụ đúng chuẩn mực. Đồ ăn ngon, rau củ tươi và sạch, bánh rất thơm ngon."
Servic good,"Bánh cuốn là món ăn có vị rất ngon và đặc biệt từ đầu bếp Anh Citron, nhà hàng thiết kế đẹp, độc đáo nhân viên Linh thân thiện, phục vụ nhiệt tình, tốt, và tuyệt vời. Phòng ngủ tuyệt vời và thơm tho.☺️ Nên có gạt tàn cho khách ngoài ban công để hút thuốc."
Chuyến nghỉ dưỡng của đoàn Hellmann và người thân tại resort  InterContinental Danang Sun Peninsula ngày 25-28/12/2021,"Một nơi nghỉ dưỡng tuyệt vời. Cơ sở vật chất tiện nghi sang trọng. Thiết kế đăc biệt. Phong cảnh đẹp. Ấn tượng nhất đói với đoàn chúng tôi là sự nhiệt tình, tận tâm chu đáo của toàn thể đội ngũ nhân viên ở đây làm cho du khách cảm thấy ấm áp và thực sự muốn quay lại."
"Khách sạn đẹp, nhân viên dễ thương và chu đáo nhưng cần tham khảo về các sự kiện ăn uống tại ks trước nếu đi ngay lễ","Khách sạn đẹp, nhân viên phục vụ thân thiện và chu đáo. Có điều do đi vào đêm giao thừa ngay lễ nên ăn sáng trưa tối đều ks đều chỉ có buffet.Đêm đầu chỉ có mỗi tiệc Buffet Gala bán vé, quầy bar cũng không mở cho khách ko tham gia tiệc Gala 😞 và cũng Không có chọn lựa khác cho khách muốn ăn Alacarte và đón giao thừa theo ý muốn. Điều này thật sự hơi phiền lòng với những người ko thích buffet như gd tôi. Ngày 2 cứ tưởng tối được ăn nhà hàng Bảefoot thì sáng trưa tối cũng là buffet ( trưa và tối có tính phí đầu người ) . Thật sự hơi thất vọng về cách tổ chức sự kiện lần này của Ks. Khách phải bắt buộc tham gia tiệc đông người ngay mùa dịch hoặc ăn tại phòng ( menu tại phòng thì ko có nhà hàng Barefoot và ko quá phong phú). Ngoài ra, khi đặt villa tại Ks mỗi người sẽ dc free massage 60’  và dc quy đổi bằng 40usd/ng=> 200usd nhưng chỉ có thể trừ khi đi ăn tại nhà hàng chứ ko được trừ khi ăn tại phòng. Trời thì mưa suốt ngày, gd tôi đi với con nhỏ, nhà hàng thì chỉ phục vụ buffet.Gd tôi đã rất khó khăn trong việc chọn nơi ăn uống cũng như ko thể trừ tiền đó. Phải đến đêm cuối và lúc check out gd tôi mới có thể đến quầy bar và nhà hàng để gọi món ăn. Nếu biết trước ks chỉ tổ chức buffet xuyên suốt 2 ngày thì tôi đã ko chọn đi ngay dịp này. Lần đầu ở đây tôi rất thích nhà hàng Barefoot nên lần này quay lại cũng muốn được thưởng thức lại các món ăn ở đây cùng gd nhưng lại toàn phải xuống phố để ăn và đón giao thừa. 😔 Theo tôi 200usd ko phải nhiều so với giá thức ăn tại đây. Thiết nghĩ Ks nên cho khách trừ kể cả khi ăn ở phòng như amanoi sẽ khiến khách thoải mái hơn khi họ đi với con nhỏ. Vô tình cô bảo mẫu ko khoẻ tôi có od tô cháo, nghĩ cùng lắm 250k nhưng việc tô cháo trắng 359k thì tôi thấy ko hợp lý. Trong khi mỳ ý bò bằm cũng chỉ 399++.."
Tôi đã đến đây 2 lần và lần này tôi sẽ review cho các bạn biết khu nghỉ dưỡng nó tại sao lại đắt đỏ như vậy,Thứ nhất tôi muốn quay lại khu nghỉ dưỡng 5***** này là nhân viên phục Quá Nhiệt Tình và Ngoan Ngoãn điểm 10 Cho nhân viên ở đây . Thứ hai tôi quay lại là khu nghỉ dưỡng an toàn về phòng chống dịch bệnh covid. Thay mặt gđ Bác Nữ cám ơn tất cả cán bộ nhân viên khu nghỉ dưỡng. Chúc tất cả mạnh khoẻ
여행,"Tôi rất vui khi được lưu trú tại đây, tôi là người hàn quốc, có chuyến nghỉ dưỡng tại intercontinental thật tuyệt vời, con người và cảnh quan ở đây rất đẹp thuận tiện cho việc nghỉ ngơi, nhà hàng đồ ăn rất ngon mà còn đẹp mắt, bạn phước rất chu đáo. Chúc mừng năm mới"
"Resort đẳng cấp, nhân viên tận tâm","Tôi và bạn trai có đếm InterContinental để trải nghiệm, tôi thật sự hài lòng về cảnh quan cũng như nhân viên phục vụ ở nơi đây, tôi và bạn trai chỉ mua vé vào tham quan, nhưng chắc chắn tôi sẽ quay lại và book phòng để ở đây. Tôi thật sự ấn tượng với nhân viên ở resort, đặc biệt là bạn Phước - Supervisor tại Long bar, bạn phục vụ chuyên nghiệp và tận tâm. Cảm ơn bạn, InterContinental và mọi người. Tôi sẽ quay lại vào một ngày gần nhất"
Nghĩ dưỡng cùng gia đình,"Gia đình đến nghỉ dưỡng 3 ngày tại resort. Cảnh quan kiến trúc nơi đây thật tuyệt vời. Đội ngũ nhân viên thân thiện, đặc biệt anh Phước phục vụ nơi nhà hàng Citro. Gia đình sẽ quay lại nơi đây khi có dịp."
Khu nghĩ dưỡng Intercontinationl,"Khách sạn rất sạch sẽ, bài trí đẹp, nhân viên nhiệt tình vui vẻ lịch sự rất hài lòng . Chúng Tôi có kỳ nghĩ tuyệt vời, nếu có dịp Tôi sẽ quay lại đây lần nữa với kỳ nghĩ lâu hơn và giới thiệu cho bạn bè ."
Dịch vụ tuyệt vời ✨,"Chúng tôi đã rất vui khi đến đây. Thái độ của các bạn nhân viên vô cùng chu đáo và thân thiện. Cảm ơn các bạn đã đem đến cho chúng tôi một ngày giáng sinh thật ấm áp từ dàn đồng ca đến món quà bất ngờ, đặc biệt cảm ơn bạn Tiến “giải trí” đã chụp cho nhóm mình những bức hình tuyệt đẹp. Thức ăn ngon, cảnh thơ mộng. Chắc chắn mình sẽ quay lại và giới thiệu cho bạn bè đến đây trong thời gian tới 🥰"
Chuyến đi vui vẻ,"Bước vào lễ Tân được nhân viên lễ Tân tiếp đón tận hình, được đón bằng khăn nóng để lau tay, được nhân viên hành lý hỗ trợ nhiệt tình, khi vào đến phòng ốc rất khang trang sạch sẽ rộng rãi thoáng mát, đặc biệt đi du lịch vào dịp sinh Nhật tôi nên được tặng bánh thật sự rất bất ngờ, cảm ơn quản lý của khách sạn . Buffet buổi sáng citron rất ngon , có bạn Thiện nhân viên rất nhiệt tình, đến nhà hàng IC Club sử dụng trà chiều và tiệc rượu tối, có bạn Hải Và Tình phục vụ rất chu đáo, đặc biệt quan tâm chúng tôi làm chúng tôi không nỡ rời đi. Nếu có dịp sau chắc chắn chúng tôi sẽ quay trở lại, Xin Cảm Ơn !!"
Chuyến đi vui vẻ!!!,"Dịch vụ xứng tầm 6 sao. Món ăn ngon, đa dạng, vừa miệng. Nhân viên phục vụ nhiệt tình, vui vẻ, gần gũi. Đặc biệt Ms. Tình Võ IC Club nhiệt tình giới thiệu về các món ăn đặc sản vùng miền nơi chúng tôi đang trải nghiệm. Chúng tôi sẽ trở lại khách sạn nếu có cơ hội trong những dịp nghỉ dưỡng sắp tới."
citron,"Thái độ các em đón tiếp và phục vụ rất thân thiệnHẹn gặp lại các em.Thức ăn ngon cảnh đẹp.Phải quay lại nơi đây😍😍😍 Các bạn trong nhóm phục vụ có bạn Thiện rất dễ thương giúp du khách có những tấm hình thật thú vi.Do dịch du khách đến dc đón tiếp và check test covid rất ân cần,Khách không đông nhưng mọi dịch vu vẫn dc nâng cấp và hoàn hảo ở múc rất cao."
Giáng sinh tại InterContinental Đà Nẵng thật tuyệt ❤️❤️,"Kiến trúc Resort quá đẹp, đẹp đến từng chi tiết . 👍Cảm ơn nhà hàng về món bánh bì welcome hai vợ chồng cực ngon và ấn tượng . 👍 Dàn nhạc sống cũng hay nữa . Tạo cho tôi cảm giác thư thái khi thưởng thức món ăn tối tại đây 🙂Cảm ơn cô em Linh - Nhân viên phục vụ thật dể mến, tận tình và rất chu đáo với Khách hàng 👍😀Nhất định sẽ quay trở lại đây …"
Waoooo__ Nature tour rất tuyệt vời,"Mình đi du lịch đúng hôm bão về, rất may có Mr Hưng from Guest Activities đã hỗ trợ tối đa cho gđ tour trải nghiệm vòng quanh khu nghỉ tham quan Vọc, khỉ và có trải nghiệm về cuộc sống của động vật tại bán đảo Sơn trà. Ngoài ra, Mr Hung đã chăm sóc gia đình mình rất tuyệt vời tại hồ bơi và biển, chụp hình rất xuất sắc. Phong cách làm việc rất nhanh gọn và rất chuyên nghiệp. 🥰Dịch vụ khách sạn rất tốt, gia đình mình rất hài lòng. Sẽ quay lại ngày gần nhất. 🥰🥰🥰🥰"
